player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
LeBron James,30,1,588,binned_EB,0.646,0.2268,0.6523,0.6641,0.057808,5.4,7.4,14.16,0.00483,0.023519,0.244898
LeBron James,30,1,588,logistic_RBF,0.6813,0.2397,0.6146,0.6323,0.086129,0.24,2.14,7.55,0.017357,0.020995,0.244898
LeBron James,30,1,588,gp_location,0.6622,0.2344,0.6199,0.635,0.088548,3.04,4.3,8.5,0.013094,0.022672,0.244898
LeBron James,30,2,527,intercept_only,0.6829,0.2449,0.5714,0.5,0.000271,-,-,-,0.0,0.0,0.244898
LeBron James,30,2,527,binned_EB,0.6614,0.2341,0.6442,0.6173,0.067525,3.15,4.39,12.74,0.0069,0.017295,0.244898
LeBron James,30,2,527,logistic_RBF,0.7036,0.2464,0.5876,0.6215,0.109438,-3.03,-0.61,2.84,0.019168,0.016984,0.244898
LeBron James,30,2,527,gp_location,0.673,0.2383,0.6226,0.6253,0.065236,1.45,2.7,8.97,0.009633,0.015133,0.244898
LeBron James,30,3,581,intercept_only,0.6831,0.245,0.5714,0.5,0.010327,-,-,-,0.000107,0.0,0.244898
LeBron James,30,3,581,binned_EB,0.6591,0.2328,0.6307,0.6377,0.042329,3.52,4.99,10.38,0.002674,0.015433,0.244898
LeBron James,30,3,581,logistic_RBF,0.698,0.2473,0.5849,0.6057,0.102286,-2.18,-0.96,2.36,0.017005,0.014975,0.244898
LeBron James,30,3,581,gp_location,0.6657,0.2358,0.6146,0.6294,0.049679,2.55,3.75,7.55,0.003712,0.010822,0.244898
LeBron James,30,4,546,intercept_only,0.6857,0.2462,0.5714,0.5,0.03663,-,-,-,0.001342,0.0,0.244898
LeBron James,30,4,546,binned_EB,0.6488,0.2282,0.6523,0.637,0.034869,5.38,7.31,14.16,0.001958,0.018596,0.244898
LeBron James,30,4,546,logistic_RBF,0.7223,0.2468,0.6415,0.6146,0.124597,-5.34,-0.22,12.27,0.024134,0.022542,0.244898
LeBron James,30,4,546,gp_location,0.6637,0.2344,0.6388,0.6234,0.056962,3.21,4.8,11.8,0.004482,0.016714,0.244898
LeBron James,40,0,765,intercept_only,0.6832,0.245,0.5714,0.5,0.011578,-,-,-,0.000134,0.0,0.244898
LeBron James,40,0,765,binned_EB,0.6481,0.2278,0.6523,0.649,0.042324,5.13,7.03,14.16,0.002414,0.018979,0.244898
LeBron James,40,0,765,logistic_RBF,0.674,0.2376,0.6334,0.6292,0.08132,1.35,3.01,10.85,0.011832,0.018288,0.244898
LeBron James,40,0,765,gp_location,0.658,0.2322,0.6307,0.6378,0.048617,3.69,5.21,10.38,0.004008,0.014484,0.244898
LeBron James,40,1,742,intercept_only,0.6834,0.2451,0.5714,0.5,0.014825,-,-,-,0.00022,0.0,0.244898
LeBron James,40,1,742,binned_EB,0.6431,0.2256,0.655,0.6648,0.038163,5.89,7.95,14.63,0.00237,0.021209,0.244898
LeBron James,40,1,742,logistic_RBF,0.6672,0.2349,0.6307,0.6377,0.089538,2.37,4.17,10.38,0.01059,0.019505,0.244898
LeBron James,40,1,742,gp_location,0.6586,0.2328,0.6307,0.6425,0.059672,3.63,5.03,10.38,0.006055,0.015285,0.244898
LeBron James,40,2,761,intercept_only,0.6832,0.245,0.5714,0.5,0.012014,-,-,-,0.000144,0.0,0.244898
LeBron James,40,2,761,binned_EB,0.6543,0.2308,0.6523,0.6346,0.058087,4.23,5.8,14.16,0.00718,0.020103,0.244898
LeBron James,40,2,761,logistic_RBF,0.6978,0.2447,0.6011,0.6126,0.084947,-2.14,0.12,5.19,0.012339,0.013235,0.244898
LeBron James,40,2,761,gp_location,0.6594,0.2331,0.6307,0.6329,0.069501,3.49,4.87,10.38,0.007322,0.015801,0.244898
LeBron James,40,3,755,intercept_only,0.6836,0.2452,0.5714,0.5,0.017975,-,-,-,0.000323,0.0,0.244898
LeBron James,40,3,755,binned_EB,0.6454,0.2266,0.6523,0.6438,0.017517,5.58,7.59,14.16,0.000875,0.0193,0.244898
LeBron James,40,3,755,logistic_RBF,0.6727,0.2346,0.6442,0.6334,0.074428,1.6,4.34,12.74,0.009829,0.020731,0.244898
LeBron James,40,3,755,gp_location,0.6582,0.2315,0.6307,0.635,0.072635,3.71,5.59,10.38,0.007037,0.019087,0.244898
LeBron James,40,4,787,intercept_only,0.6833,0.2451,0.5714,0.5,0.01434,-,-,-,0.000206,0.0,0.244898
LeBron James,40,4,787,binned_EB,0.6486,0.2278,0.655,0.6449,0.042383,5.07,7.05,14.63,0.005489,0.021903,0.244898
